elementTag,nivel,orientacion,eje_x_i,eje_x_j,eje_y_i,eje_y_j,longitud_m,A_tributaria_m2,SC_peso_trib_kN,w_Q_zon_kN_m,origen,n_fuentes
200024,PISO_3,Y,I,I,1,2,8.9,29.365000000000002,105.1469013,11.814258573033706,PISO_3_P41:X1;PISO_3_P51:X0,2
200025,PISO_3,Y,I,I,2,3,7.249999999999998,20.640625,62.54803953125,8.627315797413795,PISO_3_P42:X1;PISO_3_P52:X0,2
200026,PISO_3,Y,I',I',1,2,8.9,9.5625,46.8880453125,5.268319698033707,PISO_3_P51:X1,1
200027,PISO_3,Y,I',I',2,3,7.249999999999998,7.5,36.7749375,5.072405172413794,PISO_3_P52:X1,1
200082,PISO_4,X,E,F,1,1,10.0,24.697499999999998,24.2199738375,2.42199738375,PISO_4_P11:Y0,1
200083,PISO_4,X,E,F,2,2,10.0,47.806875,137.53275000937498,13.753275000937498,PISO_4_P11:Y1;PISO_4_P12:Y0,2
200084,PISO_4,X,E,F,3,3,10.0,23.109375,113.31277617187499,11.3312776171875,PISO_4_P12:Y1,1
200085,PISO_4,X,F,G,1,1,10.0,24.697499999999998,24.2199738375,2.42199738375,PISO_4_P21:Y0,1
200086,PISO_4,X,F,G,2,2,10.0,47.806875,137.53275000937498,13.753275000937498,PISO_4_P21:Y1;PISO_4_P22:Y0,2
200087,PISO_4,X,F,G,3,3,10.0,23.109375,113.31277617187499,11.3312776171875,PISO_4_P22:Y1,1
200088,PISO_4,X,G,H,1,1,10.0,24.697499999999998,48.439947675,4.8439947675,PISO_4_P31:Y0,1
200089,PISO_4,X,G,H,2,2,10.0,47.806875,116.427613378125,11.6427613378125,PISO_4_P31:Y1;PISO_4_P32:Y0,2
200090,PISO_4,X,G,H,3,3,10.0,23.109375,67.987665703125,6.7987665703125,PISO_4_P32:Y1,1
200091,PISO_4,X,H,I,1,1,10.0,24.697499999999998,48.439947675,4.8439947675,PISO_4_P41:Y0,1
200092,PISO_4,X,H,I,2,2,10.0,47.806875,116.427613378125,11.6427613378125,PISO_4_P41:Y1;PISO_4_P42:Y0,2
200093,PISO_4,X,H,I,3,3,10.0,23.109375,67.987665703125,6.7987665703125,PISO_4_P42:Y1,1
200094,PISO_4,X,I,I',1,1,2.5,1.5625,0.0,0.0,PISO_4_P51:Y0,1
200095,PISO_4,X,I,I',2,2,2.5,3.125,3.83072265625,1.5322890624999999,PISO_4_P51:Y1;PISO_4_P52:Y0,2
200096,PISO_4,X,I,I',3,3,2.5,1.5625,3.83072265625,1.5322890624999999,PISO_4_P52:Y1,1
200097,PISO_4,Y,E,E,1,2,8.9,19.802500000000002,19.419618662500003,2.1819796250000003,PISO_4_P11:X0,1
200098,PISO_4,Y,F,F,1,2,8.9,39.605000000000004,38.839237325000006,4.363959250000001,PISO_4_P11:X1;PISO_4_P21:X0,2
200099,PISO_4,Y,G,G,1,2,8.9,39.605000000000004,58.25885598750001,6.545938875000001,PISO_4_P21:X1;PISO_4_P31:X0,2
200100,PISO_4,Y,H,H,1,2,8.9,39.605000000000004,77.67847465000001,8.727918500000001,PISO_4_P31:X1;PISO_4_P41:X0,2
200101,PISO_4,Y,I,I,1,2,8.9,29.365000000000002,38.839237325000006,4.363959250000001,PISO_4_P41:X1;PISO_4_P51:X0,2
200102,PISO_4,Y,I',I',1,2,8.9,9.5625,0.0,0.0,PISO_4_P51:X1,1
200103,PISO_4,Y,E,E,2,3,7.249999999999998,13.140625,64.432755078125,8.887276562500002,PISO_4_P12:X0,1
200104,PISO_4,Y,F,F,2,3,7.249999999999998,26.28125,128.86551015625,17.774553125000004,PISO_4_P12:X1;PISO_4_P22:X0,2
200105,PISO_4,Y,G,G,2,3,7.249999999999998,26.28125,103.09240812499999,14.219642500000003,PISO_4_P22:X1;PISO_4_P32:X0,2
200106,PISO_4,Y,H,H,2,3,7.249999999999998,26.28125,77.31930609375,10.664731875000003,PISO_4_P32:X1;PISO_4_P42:X0,2
200107,PISO_4,Y,I,I,2,3,7.249999999999998,20.640625,57.047121796875004,7.868568523706899,PISO_4_P42:X1;PISO_4_P52:X0,2
200108,PISO_4,Y,I',I',2,3,7.249999999999998,7.5,18.38746875,2.536202586206897,PISO_4_P52:X1,1
