tag,familia,tipo,indice,nodo_bajo,nodo_alto,nivel_bajo,nivel_alto,x,y,A,Iy,Iz,J,nota
70038,pilastra,pilastra,4,700038,700039,L2,L3,8.296,2.9,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70039,pilastra,pilastra,4,700039,700040,L3,L4,8.296,2.9,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70040,pilastra,pilastra,4,700040,247,L4,ROOF,8.296,2.9,0.7529999999999999,0.022589999999999996,1.5813250999999997,0.08355611460860649,Pilastra x=7.947; e_x=0.60 EXPLICITO del plano; 4 columnas (1/4 de seccion bruta cada una)
70041,esc2_este,muro_X,1,700041,700042,B1,L1,18.545,7.92,0.3373499999999998,0.14219305311249977,0.002530124999999998,0.009270022226153488,2ª escalera borde N bajo VI-07; y=7.92; x 18.545..20.794 real; e=0.30 ASSUMED_FOR_MODEL
70042,esc2_este,muro_X,1,700042,700043,L1,L2,18.545,7.92,0.3373499999999998,0.14219305311249977,0.002530124999999998,0.009270022226153488,2ª escalera borde N bajo VI-07; y=7.92; x 18.545..20.794 real; e=0.30 ASSUMED_FOR_MODEL
70043,esc2_este,muro_X,1,700043,700044,L2,L3,18.545,7.92,0.3373499999999998,0.14219305311249977,0.002530124999999998,0.009270022226153488,2ª escalera borde N bajo VI-07; y=7.92; x 18.545..20.794 real; e=0.30 ASSUMED_FOR_MODEL
70044,esc2_este,muro_X,1,700044,700045,L3,L4,18.545,7.92,0.3373499999999998,0.14219305311249977,0.002530124999999998,0.009270022226153488,2ª escalera borde N bajo VI-07; y=7.92; x 18.545..20.794 real; e=0.30 ASSUMED_FOR_MODEL
70045,esc2_este,muro_X,1,700045,258,L4,ROOF,18.545,7.92,0.3373499999999998,0.14219305311249977,0.002530124999999998,0.009270022226153488,2ª escalera borde N bajo VI-07; y=7.92; x 18.545..20.794 real; e=0.30 ASSUMED_FOR_MODEL
70046,esc2_este,muro_X,2,700046,700047,B1,L1,20.794,7.92,0.3373499999999998,0.14219305311249977,0.002530124999999998,0.009270022226153488,2ª escalera borde N bajo VI-07; y=7.92; x 18.545..20.794 real; e=0.30 ASSUMED_FOR_MODEL
70047,esc2_este,muro_X,2,700047,700048,L1,L2,20.794,7.92,0.3373499999999998,0.14219305311249977,0.002530124999999998,0.009270022226153488,2ª escalera borde N bajo VI-07; y=7.92; x 18.545..20.794 real; e=0.30 ASSUMED_FOR_MODEL
70048,esc2_este,muro_X,2,700048,700049,L2,L3,20.794,7.92,0.3373499999999998,0.14219305311249977,0.002530124999999998,0.009270022226153488,2ª escalera borde N bajo VI-07; y=7.92; x 18.545..20.794 real; e=0.30 ASSUMED_FOR_MODEL
70049,esc2_este,muro_X,2,700049,700050,L3,L4,20.794,7.92,0.3373499999999998,0.14219305311249977,0.002530124999999998,0.009270022226153488,2ª escalera borde N bajo VI-07; y=7.92; x 18.545..20.794 real; e=0.30 ASSUMED_FOR_MODEL
70050,esc2_este,muro_X,2,700050,259,L4,ROOF,20.794,7.92,0.3373499999999998,0.14219305311249977,0.002530124999999998,0.009270022226153488,2ª escalera borde N bajo VI-07; y=7.92; x 18.545..20.794 real; e=0.30 ASSUMED_FOR_MODEL
