level,beam_id,element_tag,receiver_type,receiver_id,tributary_area_m2,total_slab_load_kN,beam_length_m,equivalent_uniform_load_kN_m,status
L2,L2_BD_V60_09,2139,BEAM,L2_BD_V60_09,6.375,38.774025,5.0,7.754805,TRANSFERIDO
L2,L2_BD_V60_14,2144,BEAM,L2_BD_V60_14,23.75,144.45225,7.25,19.924448,TRANSFERIDO
L2,L2_BD_V60_02,2132,BEAM,L2_BD_V60_02,6.2425,37.968134,5.0,7.593627,TRANSFERIDO
L2,L2_BD_V60_06,2136,BEAM,L2_BD_V60_06,12.375,75.267225,5.0,15.053445,TRANSFERIDO
L2,L2_BD_V60_15,2145,BEAM,L2_BD_V60_15,32.0075,194.676016,8.9,21.87371,TRANSFERIDO
L2,L2_BD_V60_10,2140,BEAM,L2_BD_V60_10,6.375,38.774025,5.0,7.754805,TRANSFERIDO
L2,L2_BD_V60_16,2146,BEAM,L2_BD_V60_16,23.75,144.45225,7.25,19.924448,TRANSFERIDO
L2,L2_BD_V60_03,2133,BEAM,L2_BD_V60_03,6.2425,37.968134,5.0,7.593627,TRANSFERIDO
L2,L2_BD_V60_07,2137,BEAM,L2_BD_V60_07,12.375,75.267225,5.0,15.053445,TRANSFERIDO
L2,L2_BD_V60_17,2147,BEAM,L2_BD_V60_17,30.31493,184.381466,8.9,20.717019,TRANSFERIDO
L2,L2_BD_V60_11,2141,BEAM,L2_BD_V60_11,6.375,38.774025,5.0,7.754805,TRANSFERIDO
L2,L2_BD_V60_18,2148,BEAM,L2_BD_V60_18,23.75,144.45225,7.25,19.924448,TRANSFERIDO
L2,L2_BD_V60_04,2134,BEAM,L2_BD_V60_04,6.247973,38.001421,5.0,7.600284,TRANSFERIDO
L2,L2_BD_V60_08,2138,BEAM,L2_BD_V60_08,12.38048,75.300553,5.0,15.060111,TRANSFERIDO
L2,,,WALL,M005..M008,20.257343,123.209209,,,WALL_EDGE_PENDING
L2,L2_BD_V60_12,2142,BEAM,L2_BD_V60_12,6.375,38.774025,5.0,7.754805,TRANSFERIDO
L3,L3_V001,2041,BEAM,L3_V001,1.793809,10.910304,1.9,5.742265,TRANSFERIDO
L3,,,WALL,M002,1.026109,6.240999,,,WALL_EDGE_PENDING
L3,L3_V30_01,2089,BEAM,L3_V30_01,3.362698,20.452602,1.85,11.05546,TRANSFERIDO
L3,L3_V40_01,2105,BEAM,L3_V40_01,3.863588,23.499116,2.44,9.630785,TRANSFERIDO
L3,,,WALL,M001,1.655824,10.07105,,,WALL_EDGE_PENDING
L3,L3_V009,2049,BEAM,L3_V009,8.883744,54.032708,4.265,12.668865,TRANSFERIDO
L3,L3_V40_02,2106,BEAM,L3_V40_02,7.555548,45.954356,4.635,9.91464,TRANSFERIDO
L3,L3_V010,2050,BEAM,L3_V010,11.418048,69.446854,4.635,14.98314,TRANSFERIDO
L3,L3_V30_03,2091,BEAM,L3_V30_03,3.362142,20.44922,1.85,11.053632,TRANSFERIDO
