level,beam_id,element_tag,length_m,tributary_load_kN,applied_load_kN,abs_err_load_kN,rel_err_load,expected_first_moment_kN_m,applied_first_moment_kN_m,abs_err_moment_kN_m,rel_err_moment,n_loads
L3,L3_BD_V60_17,2165,8.9,184.381466,184.381467234,1.234e-06,6.692646775798588e-09,817.184009202,817.184009133,6.9e-08,8.445976024585749e-11,355
L3,L3_BD_V60_11,2159,5.0,38.774025,38.774025,0.0,1.832522508973727e-16,96.9350625,96.9350625,0.0,1.3633967466764343e-14,100
L3,L3_BD_V60_18,2166,7.25,144.45225,144.45225,0.0,0.0,520.0281,520.0281,0.0,1.4428703544340295e-14,288
L3,L3_BD_V60_04,2152,5.0,38.001421,38.001421378,3.78e-07,9.946996156888346e-09,94.163093501,94.163093494,8e-09,7.979262567830397e-11,98
L3,L3_BD_V60_08,2156,5.0,75.300553,75.300555455,2.455e-06,3.260268241102806e-08,187.300211629,187.300211626,2e-09,1.3227688379073898e-11,197
L3,L3_BD_V60_12,2160,5.0,38.774025,38.774025,0.0,1.832522508973727e-16,96.9350625,96.9350625,0.0,1.3633967466764343e-14,100
L4,L4_V001,2061,1.9,10.910304,10.910305099,1.099e-06,1.0073046546984107e-07,7.21796793,7.217967932,2e-09,3.240231518043151e-10,38
L4,L4_V30_01,2093,1.85,20.452602,20.452601777,2.23e-07,1.090325821074181e-08,12.820325512,12.820325512,0.0,6.631656190430374e-12,73
L4,L4_V40_01,2109,2.44,23.499116,23.49911492,1.08e-06,4.5959175678853564e-08,27.359683816,27.359683801,1.4e-08,5.262701044271844e-10,49
L4,L4_V009,2069,4.265,54.032708,54.032707765,2.35e-07,4.349217545795017e-09,115.465729683,115.465729701,1.8e-08,1.5498588942097594e-10,169
